JobTitle,Company,Location,Salary,TypeofJob,Skills,MoreInfo,clean_jobtitle,Label
Cloud IT Solution Architect,Ngân hàng Quốc Tế VIB,"Quận 1, Hồ Chí Minh - Quận Hoàn Kiếm, Hà Nội",Thương lượng,Ngân Hàng,"Core Banking, Solution Architect, Oracle ERP Cloud, Web Application, Cloud, Google Cloud Platform - Rollbar",https://topdev.vn/viec-lam/cloud-it-solution-architect-ngan-hang-quoc-te-vib-2026846,cloud solution architect,Android
QC Engineer,ANTSOMI,"Quận Bình Thạnh, Hồ Chí Minh",Lên tới 700 USD,Phần Mềm,"QC, Automation Tester, Manual Tester",https://topdev.vn/viec-lam/qc-engineer-antsomi-2026847,qc,Android
PHP Developer,NEOLAB VIỆT NAM (Đà Nẵng),"Quận Hải Châu, Đà Nẵng","1,000 - 1,800 USD",Phần Mềm,"PHP, Laravel, Symfony, CodeIgniter",https://topdev.vn/viec-lam/php-developer-neolab-viet-nam-da-nang-2026848,php,Android
Business Analyst (Up To 40tr vnđ),Tập Đoàn Belief Holdings,"Quận Đống Đa, Hà Nội","20,000,000 - 40,000,000 VND",Công nghệ thông tin,"Business Analyst, Agile, UX/UI Design, Business Analyst",https://topdev.vn/viec-lam/business-analyst-up-to-40tr-vnd-tap-doan-belief-holdings-2026850,business analyst ( ),Android
PHP WEB DEVELOPER,Ceres Solutions,"Quận Tân Bình, Hồ Chí Minh","Lên tới 40,000,000 VND",Phần Mềm,"PHP, MySQL, Yii, Laravel",https://topdev.vn/viec-lam/php-web-developer-ceres-solutions-2026852,php web,Android
[All Levels] QA - QC - Tester,CB/I Digital,"Quận 3, Hồ Chí Minh",Thương lượng,"Product, Phần Mềm","Tester, QA, QC, Manual Test",https://topdev.vn/viec-lam/all-levels-qa-qc-tester-cb-i-digital-2026853,all Quality Assurance - qc - tester,Android
03 Web Developers (Junior/Senior),Công ty TNHH TM-DV XNK Ecombest,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,"JavaScript, MySQL, NodeJS, TypeScript, AWS, Java, Full-Stack",https://topdev.vn/viec-lam/03-web-developers-junior-senior-cong-ty-tnhh-tm-dv-xnk-ecombest-2026851,web developers ( / ),Android
BA (Business Analyst),CB/I Digital,"Quận 3, Hồ Chí Minh",Thương lượng,"Product, Phần Mềm","Business Analyst, UX/UI Design",https://topdev.vn/viec-lam/ba-business-analyst-cb-i-digital-2026854,( business analyst ),Android
Back-end Developer (NodeJS),CB/I Digital,"Quận 3, Hồ Chí Minh","900 - 1,700 USD","Product, Phần Mềm","JavaScript, NodeJS, Back-End, TypeScript",https://topdev.vn/viec-lam/back-end-developer-nodejs-cb-i-digital-2026855,back-end ( nodejs ),BackEnd
Senior UX/UI Designer,Beincomm,"Quận 7, Hồ Chí Minh","Lên tới 1,400 USD","Giáo dục, Phần Mềm","Agile, UX/UI Design, IT Auditor",https://topdev.vn/viec-lam/senior-ux-ui-designer-beincomm-2026857,ux/ui designer,Android
