Id,JobTitle,Company,Location,Salary,TypeofJob,Description,Require,MoreInfo
49,Back-end Developer (NodeJS/C++/JavaScript),Metacoders,"Thành phố Thủ Đức, Hồ Chí Minh","Lên tới 4,000 USD",Software,It’s not only about coding but also about building products. You will be joining an awesome startup team to build cool applications that serve million...,"C++, JavaScript, NodeJS, Back-End",https://topdev.vn/viec-lam/back-end-developer-nodejs-c-javascript-metacoders-2027104
50,IT PROJECT MANAGER,Yes4All Trading Services Company Limited,"Quận Phú Nhuận, Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,"Yes4All is one of the leading brands for home sporting goods & furniture in the e-commerce market. Founded in 2010, we have strived to be in the top 1...","Project Manager, Business Analyst",https://topdev.vn/viec-lam/it-project-manager-yes4all-trading-services-company-limited-2027143
51,"HOT KMS Danang | One-day Hiring (Fresher Java, .NET, Tester, Low-code Engineer)",KMS Technology,"Quận Hải Châu, Đà Nẵng",Thương lượng,"Dịch vụ IT, Gia công phần mềm, Phần Mềm, Product",KMS ONE-DAY HIRING: a special IT Fresher recruitment campaign from KMS Technology. Not a 2-round interview.  Not weeks of process 'till you're emplo...,"Java, .NET, Tester, QA, QC",https://topdev.vn/viec-lam/kms-danang-one-day-hiring-fresher-java-net-tester-low-code-engineer-kms-technology-2027141
52,HOT Automation Engineer (Selenium C#),ORIENT SOFTWARE DEVELOPMENT CORPORATION,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,Gia công phần mềm,,"C#, QA, QC, Automation Tester, Selenium",https://topdev.vn/viec-lam/automation-engineer-selenium-c-orient-software-development-corporation-2027142
53,HOT UI Designer for PayPense,HRS GROUP,"Quận 12, Hồ Chí Minh","1,500 - 3,000 USD",Phần Mềm,,UI Design,https://topdev.vn/viec-lam/ui-designer-for-paypense-hrs-group-2027140
54,HOT Senior Java Back-end Developer - Paypense (m/f/d),HRS GROUP,"Quận 12, Hồ Chí Minh","2,000 - 3,000 USD",Phần Mềm,"POSITION Within HRS, the Payment Solutions team is transforming the way corporations globally look to payments as a critical and transformative busin...","Java, Back-End",https://topdev.vn/viec-lam/senior-java-back-end-developer-paypense-m-f-d-hrs-group-2027139
55,[ĐÀ NẴNG] Senior software Programmer (Java/JavaScript/NodeJS/MySQL),NTT DATA Vietnam,"Quận Hải Châu, Đà Nẵng",Thương lượng,"Dịch vụ doanh nghiệp, Dịch vụ IT",,"AngularJS, Oracle, J2EE, Java, JavaScript, MySQL, JQuery, NodeJS, Spring",https://topdev.vn/viec-lam/da-nang-senior-software-programmer-java-javascript-nodejs-mysql-ntt-data-vietnam-2026824
56,[ĐÀ NẴNG ] Fresher/Junior Software Programmer (Java/.NET/PHP),NTT DATA Vietnam,"Quận Hải Châu, Đà Nẵng",Thương lượng,"Dịch vụ doanh nghiệp, Dịch vụ IT",,"PHP, Java, .NET",https://topdev.vn/viec-lam/da-nang-fresher-junior-software-programmer-java-net-php-ntt-data-vietnam-2026820
57,HOT [ĐÀ NẴNG] Leader Tester/QC/QA,NTT DATA Vietnam,"Quận Hải Châu, Đà Nẵng",Thương lượng,"Dịch vụ doanh nghiệp, Dịch vụ IT",,"Lifecycle (sdlc), QC, Tester, QA, Automation Tester, Manual Tester",https://topdev.vn/viec-lam/da-nang-leader-tester-qc-qa-ntt-data-vietnam-2026825
58,Java Software Programmer,NTT DATA Vietnam,"Quận Cầu Giấy, Hà Nội - Quận 1, Hồ Chí Minh - Quận Hải Châu, Đà Nẵng",Thương lượng,"Dịch vụ doanh nghiệp, Dịch vụ IT",,Java,https://topdev.vn/viec-lam/java-software-programmer-ntt-data-vietnam-2026827
